name,designer,license,category,date_added
Lexend Zetta,Thomas Jockin,OFL,SANS_SERIF,2019-08-01
Libre Barcode 128,Lasse Fister,OFL,DISPLAY,2017-07-31
Libre Barcode 128 Text,Lasse Fister,OFL,DISPLAY,2017-07-31
Libre Barcode 39,Lasse Fister,OFL,DISPLAY,2017-07-31
Libre Barcode 39 Extended,Lasse Fister,OFL,DISPLAY,2017-08-21
Libre Barcode 39 Extended Text,Lasse Fister,OFL,DISPLAY,2017-08-21
Libre Barcode 39 Text,Lasse Fister,OFL,DISPLAY,2017-07-31
Libre Baskerville,Impallari Type,OFL,SERIF,2012-11-30
Libre Caslon Display,Impallari Type,OFL,SERIF,2017-11-30
Libre Caslon Text,Impallari Type,OFL,SERIF,2013-03-15
Libre Franklin,Impallari Type,OFL,SANS_SERIF,2016-06-20
Life Savers,Impallari Type,OFL,DISPLAY,2012-08-13
Lilita One,Juan Montoreano,OFL,DISPLAY,2012-01-11
Lily Script One,Julia Petretta,OFL,DISPLAY,2013-06-05
Limelight,Nicole Fally,OFL,DISPLAY,2011-05-25
Linden Hill,Barry Schwartz,OFL,SERIF,2011-10-19
Literata,TypeTogether,OFL,SERIF,2018-12-06
Liu Jian Mao Cao,Liu Zhengjiang,OFL,HANDWRITING,2019-03-18
Livvic,"LV=, Jacques Le Bailly",OFL,SANS_SERIF,2019-06-21
Lobster,Impallari Type,OFL,DISPLAY,2010-05-17
Lobster Two,Impallari Type,OFL,DISPLAY,2011-06-21
Lohit Bengali,Multiple Designers,OFL,SERIF,2012-05-09
Lohit Tamil,Multiple Designers,OFL,SERIF,2011-12-12
Londrina Outline,Marcelo Magalhães,OFL,DISPLAY,2012-03-14
Londrina Shadow,Marcelo Magalhães,OFL,DISPLAY,2012-03-14
Londrina Sketch,Marcelo Magalhães,OFL,DISPLAY,2012-03-14
Londrina Solid,Marcelo Magalhães,OFL,DISPLAY,2012-03-14
Long Cang,Chen Xiaomin,OFL,HANDWRITING,2019-03-18
Lora,Cyreal,OFL,SERIF,2011-07-06
Loved by the King,Kimberly Geswein,OFL,HANDWRITING,2011-07-06
Lovers Quarrel,TypeSETit,OFL,HANDWRITING,2012-03-29
Love Ya Like A Sister,Kimberly Geswein,OFL,DISPLAY,2011-07-06
Lusitana,Ana Paula Megda,OFL,SERIF,2012-01-11
Lustria,MADType,OFL,SERIF,2012-01-18
Macondo,John Vargas Beltrán,OFL,DISPLAY,2012-01-18
Macondo Swash Caps,John Vargas Beltrán,OFL,DISPLAY,2012-01-18
Mada,"Khaled Hosny, Paul D. Hunt",OFL,SANS_SERIF,2017-05-08
Magra,FontFuror,OFL,SANS_SERIF,2012-01-11
Maitree,Cadson Demak,OFL,SERIF,2016-06-20
Major Mono Display,Emre Parlak,OFL,MONOSPACE,2018-12-05
Mako,Vernon Adams,OFL,SANS_SERIF,2011-05-11
Mali,Cadson Demak,OFL,HANDWRITING,2018-08-22
Mallanna,Purushoth Kumar Guttula,OFL,SANS_SERIF,2014-12-10
Mandali,Purushoth Kumar Guttula,OFL,SANS_SERIF,2014-12-10
Manjari,Santhosh Thottingal,OFL,SANS_SERIF,2018-11-21
Manrope,Mikhail Sharanda,OFL,SANS_SERIF,2019-10-03
Mansalva,Carolina Short,OFL,HANDWRITING,2019-08-29
Manuale,Omnibus-Type,OFL,SERIF,2016-12-03
Marcellus,Astigmatic,OFL,SERIF,2012-05-09
Marcellus SC,Astigmatic,OFL,SERIF,2012-05-09
Marck Script,Denis Masharov,OFL,HANDWRITING,2011-10-12
Margarine,Astigmatic,OFL,DISPLAY,2012-11-16
Markazi Text,"Borna Izadpanah, Fiona Ross, Florian Runge",OFL,SERIF,2018-06-06
Marko One,Cyreal,OFL,SERIF,2011-12-13
Marmelad,Cyreal,OFL,SANS_SERIF,2011-12-07
Martel,Dan Reynolds,OFL,SERIF,2015-04-20
Martel Sans,"Dan Reynolds, Mathieu Réguer",OFL,SANS_SERIF,2015-03-04
Marvel,Carolina Trebol,OFL,SANS_SERIF,2011-08-03
Ma Shan Zheng,Ma ShanZheng,OFL,HANDWRITING,2019-03-18
Mate,Eduardo Tunni,OFL,SERIF,2011-11-02
Mate SC,Eduardo Tunni,OFL,SERIF,2011-11-02
Maven Pro,Joe Prince,OFL,SANS_SERIF,2011-05-25
McLaren,Astigmatic,OFL,DISPLAY,2012-08-13
Meddon,Vernon Adams,OFL,HANDWRITING,2011-02-02
MedievalSharp,Wojciech Kalinowski,OFL,DISPLAY,2011-03-02
Medula One,LatinoType,OFL,DISPLAY,2011-12-19
Meera Inimai,SMC,OFL,SANS_SERIF,2016-06-20
Megrim,Daniel Johnson,OFL,DISPLAY,2011-05-04
Meie Script,Multiple Designers,OFL,HANDWRITING,2012-08-21
Merge One,Kosal Sen,OFL,SANS_SERIF,2012-10-05
Merienda,Eduardo Tunni,OFL,HANDWRITING,2012-10-31
Merienda One,Eduardo Tunni,OFL,HANDWRITING,2011-09-07
Merriweather,Sorkin Type,OFL,SERIF,2011-05-11
Merriweather Sans,Sorkin Type,OFL,SANS_SERIF,2013-03-06
Mervale Script,Astigmatic,OFL,HANDWRITING,2012-11-12
Metal,Danh Hong,OFL,DISPLAY,2011-03-02
Metal Mania,Open Window,OFL,DISPLAY,2012-07-11
Metamorphous,James Grieshaber,OFL,DISPLAY,2011-12-07
Metrophobic,Vernon Adams,OFL,SANS_SERIF,2011-05-11
Miama,Linus Romer,OFL,HANDWRITING,2012-05-09
Michroma,Vernon Adams,OFL,SANS_SERIF,2011-03-30
Milonga,Impallari Type,OFL,DISPLAY,2012-11-30
Miltonian,Impallari Type,OFL,DISPLAY,2011-04-06
Miltonian Tattoo,Impallari Type,OFL,DISPLAY,2011-04-06
Mina,"Suman Bhandary, Natanael Gama, Mooniak",OFL,SANS_SERIF,2017-02-20
Miniver,Open Window,OFL,DISPLAY,2011-12-19
Miriam Libre,Michal Sahar,OFL,SANS_SERIF,2016-06-20
Mirza,KB Studio,OFL,DISPLAY,2016-06-20
