name,caption,lines,connect_rer,connect_tramway,connect_transilien,connect_other,passengers,latitude,longitude,location,min_line
Riquet,,7,,,,,1588438,48.887880,2.373578,Paris 19th,7
Sully—Morland,,7,,,,,1124169,48.851425,2.361894,Paris 4th,7
Tolbiac,,7,,,,,2287918,48.826665,2.357678,Paris 13th,7
Villejuif—Léo Lagrange,,7,,T7,,,1952627,48.803768,2.363927,Villejuif,7
Villejuif—Louis Aragon,,7,,,,,5218070,48.787175,2.367564,Villejuif,7
Villejuif—Paul Vaillant-Couturier,Hôpital Paul Brousse,7,,,,,1764879,48.795991,2.368248,Villejuif,7
Bolivar,,7bis,,,,,367598,48.880502,2.374922,Paris 19th,7.5
Botzaris,,7bis,,,,,669323,48.879552,2.388040,Paris 19th,7.5
Buttes Chaumont,,7bis,,,,,358301,48.878500,2.381772,Paris 19th,7.5
Danube,,7bis,,,,,400157,48.881808,2.394201,Paris 19th,7.5
Place des Fêtes,,"7bis, 11",,,,,2318764,48.876840,2.392960,Paris 19th,7.5
Pré-Saint-Gervais,,7bis,,T3b,,,282626,48.880250,2.398910,Paris 19th,7.5
Balard,,8,,"T2, T3a",,,3236801,48.835970,2.278212,Paris 15th,8
Bonne Nouvelle,,"8, 9",,,,,2806227,48.870639,2.348875,Paris 2nd,8
Boucicaut,,8,,,,,2288055,48.840578,2.286621,Paris 15th,8
Charenton—Écoles,,8,,,,,2164023,48.821490,2.413860,Charenton-le-Pont,8
Chemin Vert,,8,,,,,1018958,48.856778,2.368348,Paris 3rd,8
Commerce,,8,,,,,2212666,48.845093,2.294215,Paris 15th,8
Créteil—L'Échat,Hôpital Henri Mondor,8,,,,,1660120,48.795963,2.449356,Créteil,8
Créteil—Préfecture,Hôtel de Ville,8,,,,,3330602,48.779772,2.459317,Créteil,8
Créteil—Université,,8,,,,,2496595,48.789754,2.450785,Créteil,8
École Militaire,,8,,,,,2805976,48.855110,2.306737,Paris 7th,8
École Vétérinaire de Maisons-Alfort,,8,,,,,2269487,48.815190,2.421882,Maisons-Alfort,8
Faidherbe—Chaligny,,8,,,,,2190416,48.850158,2.383398,Paris 11th,8
Félix Faure,,8,,,,,1161978,48.842351,2.291004,Paris 15th,8
Filles du Calvaire,,8,,,,,1093673,48.864167,2.366111,Paris 3rd,8
Grands Boulevards,,"8, 9",,,,,3737316,48.871426,2.344342,"Paris 2nd, Paris 9th",8
Invalides,,"8, 13",C,,,,3482080,48.862990,2.313330,Paris 7th,8
La Tour-Maubourg,,8,,,,,1361723,48.857667,2.310399,Paris 7th,8
Ledru-Rollin,,8,,,,,2570283,48.851529,2.375160,"Paris 11th, Paris 12th",8
Liberté,,8,,,,,1704609,48.825882,2.407022,Charenton-le-Pont,8
Lourmel,,8,,,,,1696432,48.838604,2.281817,Paris 15th,8
Madeleine,,"8, 12, 14",,,,,5330928,48.869770,2.324400,Paris 8th,8
Maisons-Alfort—Les Juilliottes,,8,,,,,1297495,48.802567,2.446432,Maisons-Alfort,8
Maisons-Alfort—Stade,,8,,,,,1702479,48.808681,2.436073,Maisons-Alfort,8
Michel Bizot,,8,,,,,1403416,48.837485,2.401234,Paris 12th,8
Montgallet,,8,,,,,1108395,48.844276,2.389974,Paris 12th,8
Pointe du Lac,Créteil,8,,,,,2114438,48.768890,2.464720,Créteil,8
Porte de Charenton,,8,,T3a,,,1529778,48.832780,2.400400,Paris 12th,8
Porte Dorée,,8,,T3a,,,1918182,48.835481,2.406100,Paris 12th,8
Richelieu—Drouot,,8,,,,,2994510,48.871987,2.338741,"Paris 2nd, Paris 9th",8
Saint-Sébastien—Froissart,,8,,,,,1151192,48.860480,2.367358,"Paris 3rd, Paris 11th",8
Alma—Marceau,,9,,,,,2564842,48.864904,2.300234,"Paris 8th, Paris 16th",9
Billancourt,,9,,,,,1967532,48.832090,2.238177,Boulogne-Billancourt,9
Buzenval,,9,,,,,1448855,48.851976,2.402045,Paris 20th,9
Charonne,,9,,,,,2705320,48.855103,2.384639,Paris 11th,9
Croix de Chavaux,,9,,,,,3729545,48.858055,2.435764,Montreuil,9
Exelmans,,9,,,,,1607223,48.842405,2.259549,Paris 16th,9
Iéna,,9,,,,,1646925,48.864466,2.293380,Paris 16th,9
Jasmin,,9,,,,,1418238,48.851898,2.267856,Paris 16th,9
La Muette,,9,C,,,,3010370,48.857718,2.273719,Paris 16th,9
Mairie de Montreuil,,9,,,,,6158487,48.862283,2.441847,Montreuil,9
Maraîchers,,9,,,,,1994064,48.852851,2.406990,Paris 20th,9
Marcel Sembat,,9,,,,,3874792,48.833670,2.243579,Boulogne-Billancourt,9
Michel-Ange—Auteuil,,"9, 10",,,,,1512050,48.847500,2.263611,Paris 16th,9
Michel-Ange—Molitor,,"9, 10",,,,,1420552,48.844960,2.261194,Paris 16th,9
Miromesnil,,"9, 13",,,,,3647255,48.873670,2.314460,Paris 8th,9
Pont de Sèvres,,9,,T2,,,3430203,48.829747,2.231035,Boulogne-Billancourt,9
Porte de Montreuil,,9,,T3b,,,3067413,48.853792,2.412245,Paris 20th,9
Porte de Saint-Cloud,Parc des Princes,9,,,,,3485946,48.838082,2.256956,Paris 16th,9
Ranelagh,,9,,,,,1779206,48.855020,2.269634,Paris 16th,9
Robespierre,,9,,,,,2986308,48.855683,2.423678,Montreuil,9
Rue de la Pompe,,9,,,,,2449458,48.863912,2.279052,Paris 16th,9
Rue des Boulets,,9,,,,,1832442,48.851811,2.390151,Paris 11th,9
Saint-Ambroise,,9,,,,,2158466,48.861295,2.374211,Paris 11th,9
Saint-Augustin,,9,,,,,1934106,48.874441,2.322133,Paris 8th,9
Saint-Philippe du Roule,,9,,,,,1935004,48.871941,2.310036,Paris 8th,9
Voltaire,,9,,,,,3454006,48.857803,2.380106,Paris 11th,9
Avenue Émile Zola,,10,,,,,1041233,48.846977,2.294512,Paris 15th,10
Boulogne—Jean Jaurès,,10,,,,,2700354,48.842278,2.238877,Boulogne-Billancourt,10
Boulogne—Pont de Saint-Cloud,,10,,T2,,,2182738,48.840684,2.228331,Boulogne-Billancourt,10
