number,af,ak,am,ar,az,be,bg,bs,ca,ccp,chr,cs,cy,da,de-CH,de,ee,el,en,eo,es,et,fa,ff,fi,fil,fo,fr-BE,fr-CH,fr,ga,he,hi,hr,hu,hy,id,is,it,ja,ka,kk,kl,km,ko,ky,lb,lo,lrc,lt,lv,mk,ms,mt,my,ne,nl,nn,no,pl,pt,qu,ro,ru,se,sk,sl,sq,sr-Latn,sr,su,sv,sw,ta,th,tr,uk,vi,yue,zh
79,nege-en-sewentig,aduasuon-akron,ሰባት አስር ዘጠኝ,تسعة وسبعون,yetmiş doqquz,семдзесят дзевяць,седемдесет и девет,sedamdeset devet,setanta-nou,𑄦𑄮𑄖𑄴𑄪𑄢𑄴 𑄚𑄧,ꭶꮅꮖꮝꭺ ꮠꮑꮃ,sedmdesát devět,saith deg naw,ni­oghalvfjerds,neun­und­siebzig,neun­und­siebzig,blaadre vɔ asieke,εβδομήντα εννέα,seventy-nine,sepdek naŭ,setenta y nueve,seitsekümmend üheksa,هفتاد و نه,cepanze jeeɗiɗi e jeenawi,seitsemän­kymmentä­yhdeksän,pitóng pû’t siyám,sjeyti­níggju,septante-neuf,septante-neuf,soixante-dix-neuf,seachtó a naoi,שבעים ותשע,उनासी,sedamdeset i devet,hetvenkilenc,յոթանասուն­ինը,tujuh puluh sembilan,sjötíu og níu,settanta­nove,七十九,სამოცდა­ცხრამეტი,жетпіс тоғыз,arfineq-marlunnik qulillit arfineq-sisamat,ចិតសិប​ប្រាំបួន,칠십구,жетимиш тогуз,néngansiwwenzeg,ເຈັດ​ສິບ​ເກົ້າ,هفتاد و نۏ,septyniasdešimt devyni,septiņdesmit deviņi,седумдесет и девет,tujuh puluh sembilan,disgħa u sebgħin,ခုနှစ်ဆယ်ကိုး,उनासी,negen­en­zeventig,sytti­ni,sytti­ni,siedemdziesiąt dziewięć,setenta e nove,qanchis chunka isqun-ni-yuq,şaptezeci şi nouă,семьдесят девять,čieža­logi­ovcci,sedemdesiat­deväť,sedemdeset devet,shtatëdhjetë e nëntë,sedamdeset i devet,седамдесет и девет,tujuh puluh salapan,sjuttionio,sabini na tisa,எழுபது ஒன்பது,เจ็ด​สิบ​เก้า,yetmiş dokuz,сімдесят девʼять,bảy mươi chín,七十九,七十九
80,tagtig,aduawɔtwe,ስምንት አስር,ثمانون,səqsən,восемдзесят,осемдесет,osamdeset,vuitanta,𑄃𑄎𑄨,ꮷꮑꮃꮝꭺꭿ,osmdesát,wyth deg,firs,achtzig,achtzig,blaenyi,ογδόντα,eighty,okdek,ochenta,kaheksakümmend,هشتاد,cepanze jeetati,kahdeksan­kymmentä,walóng pû,áttati,quatre-vingts,huitante,quatre-vingts,ochtó,שמונים,अस्सी,osamdeset,nyolcvan,ութսուն,delapan puluh,áttatíu,ottanta,八十,ოთხმოცი,сексен,arfineq-pingasunik qulillit,ប៉ែតសិប,팔십,сексен,achtzeg,ແປດ​ສິບ,هشتاد,aštuoniasdešimt,astoņdesmit,осумдесет,lapan puluh,tmenin,ရှစ်ဆယ်,असी,tachtig,åtti,åtti,osiemdziesiąt,oitenta,pusaq chunka,optzeci,восемьдесят,gávcci­logi,osemdesiat,osemdeset,tetëdhjetë,osamdeset,осамдесет,dalapan puluh,åttio,themanini,எண்பது,แปด​สิบ,seksen,вісімдесят,tám mươi,八十,八十
81,een-en-tagtig,aduawɔtwe-biako,ስምንት አስር አንድ,واحد وثمانون,səqsən bir,восемдзесят адзiн,осемдесет и едно,osamdeset jedan,vuitanta-u,𑄃𑄎𑄨 𑄆𑄇𑄴,ꮷꮑꮃꮝꭺ ꮠꮼ,osmdesát jeden,wyth deg un,en­ogfirs,ein­undachtzig,ein­undachtzig,blaenyi vɔ ɖekɛ,ογδόντα ένα,eighty-one,okdek unu,ochenta y uno,kaheksakümmend üks,هشتاد و یک,cepanze jeetati e goʼo,kahdeksan­kymmentä­yksi,walóng pû’t isá,áttati­ein,quatre-vingt un,huitante-et-un,quatre-vingt-un,ochtó a haon,שמונים ואחת,इक्यासी,osamdeset i jedan,nyolcvan­egy,ութսուն­մեկ,delapan puluh satu,áttatíu og einn,ottant­uno,八十一,ოთხმოცდა­ერთი,сексен бір,arfineq-pingasunik qulillit ataaseq,ប៉ែតសិប​មួយ,팔십일,сексен бир,eenanachtzeg,ແປດ​ສິບ​ເອັດ,هشتاد و یٱک,aštuoniasdešimt vienas,astoņdesmit viens,осумдесет и еден,lapan puluh satu,wieħed u tmenin,ရှစ်ဆယ်တစ်,एकासी,een­en­tachtig,åtti­éin,åtti­én,osiemdziesiąt jeden,oitenta e um,pusaq chunka huk-ni-yuq,optzeci şi unu,восемьдесят один,gávcci­logi­okta,osemdesiat­jeden,osemdeset ena,tetëdhjetë e një,osamdeset i jedan,осамдесет и један,dalapan puluh hiji,åttio­ett,themanini na moja,எண்பது ஒன்று,แปด​สิบ​เอ็ด,seksen bir,вісімдесят один,tám mươi mốt,八十一,八十一
82,twee-en-tagtig,aduawɔtwe-abien,ስምንት አስር ሁለት,إثنان وثمانون,səqsən iki,восемдзесят два,осемдесет и две,osamdeset dva,vuitanta-dos,𑄃𑄎𑄨 𑄘𑄨,ꮷꮑꮃꮝꭺ ꮤꮅ,osmdesát dva,wyth deg dau,to­ogfirs,zwei­und­achtzig,zwei­und­achtzig,blaenyi vɔ eve,ογδόντα δύο,eighty-two,okdek du,ochenta y dos,kaheksakümmend kaks,هشتاد و دو,cepanze jeetati e ɗiɗi,kahdeksan­kymmentä­kaksi,walóng pû’t dalawá,áttati­tveir,quatre-vingt deux,huitante-deux,quatre-vingt-deux,ochtó a dó,שמונים ושתיים,बयासी,osamdeset i dva,nyolcvan­kettő,ութսուն­երկու,delapan puluh dua,áttatíu og tveir,ottanta­due,八十二,ოთხმოცდა­ორი,сексен екі,arfineq-pingasunik qulillit marluk,ប៉ែតសិប​ពីរ,팔십이,сексен эки,zweeanachtzeg,ແປດ​ສິບ​ສອງ,هشتاد و دۏ,aštuoniasdešimt du,astoņdesmit divi,осумдесет и два,lapan puluh dua,tnejn u tmenin,ရှစ်ဆယ်နှစ်,बयासी,twee­ën­tachtig,åtti­to,åtti­to,osiemdziesiąt dwa,oitenta e dois,pusaq chunka iskay-ni-yuq,optzeci şi doi,восемьдесят два,gávcci­logi­guokte,osemdesiat­dva,osemdeset dva,tetëdhjetë e dy,osamdeset i dva,осамдесет и два,dalapan puluh dua,åttio­två,themanini na mbili,எண்பது இரண்டு,แปด​สิบ​สอง,seksen iki,вісімдесят два,tám mươi hai,八十二,八十二
83,drie-en-tagtig,aduawɔtwe-abiasa,ስምንት አስር ሦስት,ثلاثة وثمانون,səqsən üç,восемдзесят тры,осемдесет и три,osamdeset tri,vuitanta-tres,𑄃𑄎𑄨 𑄖𑄨𑄚𑄴,ꮷꮑꮃꮝꭺ ꮶꭲ,osmdesát tři,wyth deg tri,tre­ogfirs,drei­undachtzig,drei­undachtzig,blaenyi vɔ etɔ̃,ογδόντα τρία,eighty-three,okdek tri,ochenta y tres,kaheksakümmend kolm,هشتاد و سه,cepanze jeetati e tati,kahdeksan­kymmentä­kolme,walóng pû’t tatló,áttati­tríggir,quatre-vingt trois,huitante-trois,quatre-vingt-trois,ochtó a trí,שמונים ושלוש,तिरासी,osamdeset i tri,nyolcvan­három,ութսուն­երեք,delapan puluh tiga,áttatíu og þrír,ottanta­tré,八十三,ოთხმოცდა­სამი,сексен үш,arfineq-pingasunik qulillit pingasut,ប៉ែតសិប​បី,팔십삼,сексен үч,dräianachtzeg,ແປດ​ສິບ​ສາມ,هشتاد و ساٛ,aštuoniasdešimt trys,astoņdesmit trīs,осумдесет и три,lapan puluh tiga,tlieta u tmenin,ရှစ်ဆယ်သုံး,त्रियासी,drie­ën­tachtig,åtti­tre,åtti­tre,osiemdziesiąt trzy,oitenta e três,pusaq chunka kinsa-yuq,optzeci şi trei,восемьдесят три,gávcci­logi­golbma,osemdesiat­tri,osemdeset tri,tetëdhjetë e tre,osamdeset i tri,осамдесет и три,dalapan puluh tilu,åttiotre,themanini na tatu,எண்பது மூன்று,แปด​สิบ​สาม,seksen üç,вісімдесят три,tám mươi ba,八十三,八十三
84,vier-en-tagtig,aduawɔtwe-anan,ስምንት አስር አራት,أربعة وثمانون,səqsən dörd,восемдзесят чатыры,осемдесет и четири,osamdeset četiri,vuitanta-quatre,𑄃𑄎𑄨 𑄌𑄳𑄆𑄬𑄢𑄴,ꮷꮑꮃꮝꭺ ꮕꭹ,osmdesát čtyři,wyth deg pedwar,fire­ogfirs,vierundachtzig,vierundachtzig,blaenyi vɔ ene,ογδόντα τέσσερα,eighty-four,okdek kvar,ochenta y cuatro,kaheksakümmend neli,هشتاد و چهار,cepanze jeetati e nawi,kahdeksan­kymmentä­neljä,walóng pû’t ápat,áttati­fýre,quatre-vingt quatre,huitante-quatre,quatre-vingt-quatre,ochtó a ceathair,שמונים וארבע,चौरासी,osamdeset i četiri,nyolcvannégy,ութսուն­չորս,delapan puluh empat,áttatíu og fjórir,ottanta­quattro,八十四,ოთხმოცდა­ოთხი,сексен төрт,arfineq-pingasunik qulillit sisamat,ប៉ែតសិប​បួន,팔십사,сексен төрт,véieranachtzeg,ແປດ​ສິບ​ສີ່,هشتاد و چار,aštuoniasdešimt keturi,astoņdesmit četri,осумдесет и четири,lapan puluh empat,erbgħa u tmenin,ရှစ်ဆယ်လေး,चौरासी,vier­en­tachtig,åtti­fire,åtti­fire,osiemdziesiąt cztery,oitenta e quatro,pusaq chunka tawa-yuq,optzeci şi patru,восемьдесят четыре,gávcci­logi­njeallje,osemdesiat­štyri,osemdeset štiri,tetëdhjetë e katër,osamdeset i četiri,осамдесет и четири,dalapan puluh opat,åttiofyra,themanini na nne,எண்பது நான்கு,แปด​สิบ​สี่,seksen dört,вісімдесят чотири,tám mươi tư,八十四,八十四
85,vyf-en-tagtig,aduawɔtwe-anum,ስምንት አስር አምስት,خمسة وثمانون,səqsən beş,восемдзесят пяць,осемдесет и пет,osamdeset pet,vuitanta-cinc,𑄃𑄎𑄨 𑄛𑄌𑄴,ꮷꮑꮃꮝꭺ ꭿꮝꭹ,osmdesát pět,wyth deg pump,fem­ogfirs,fünfund­achtzig,fünfund­achtzig,blaenyi vɔ atɔ̃,ογδόντα πέντε,eighty-five,okdek kvin,ochenta y cinco,kaheksakümmend viis,هشتاد و پنج,cepanze jeetati e jowi,kahdeksan­kymmentä­viisi,walóng pû’t limá,áttati­fimm,quatre-vingt cinq,huitante-cinq,quatre-vingt-cinq,ochtó a cúig,שמונים וחמש,पचासी,osamdeset i pet,nyolcvan­öt,ութսուն­հինգ,delapan puluh lima,áttatíu og fimm,ottanta­cinque,八十五,ოთხმოცდა­ხუთი,сексен бес,arfineq-pingasunik qulillit tallimat,ប៉ែតសិប​ប្រាំ,팔십오,сексен беш,fënnefanachtzeg,ແປດ​ສິບ​ຫ້າ,هشتاد و پنج,aštuoniasdešimt penki,astoņdesmit pieci,осумдесет и пет,lapan puluh lima,ħamsa u tmenin,ရှစ်ဆယ်ငါး,पचासी,vijf­en­tachtig,åtti­­fem,åtti­­fem,osiemdziesiąt pięć,oitenta e cinco,pusaq chunka phisqa-yuq,optzeci şi cinci,восемьдесят пять,gávcci­logi­vihtta,osemdesiat­päť,osemdeset pet,tetëdhjetë e pesë,osamdeset i pet,осамдесет и пет,dalapan puluh lima,åttiofem,themanini na tano,எண்பது ஐந்து,แปด​สิบ​ห้า,seksen beş,вісімдесят пʼять,tám mươi lăm,八十五,八十五
86,ses-en-tagtig,aduawɔtwe-asia,ስምንት አስር ስድስት,ستة وثمانون,səqsən altı,восемдзесят шэсць,осемдесет и шест,osamdeset šest,vuitanta-sis,𑄃𑄎𑄨 𑄍𑄧,ꮷꮑꮃꮝꭺ ꮡꮣꮅ,osmdesát šest,wyth deg chwech,seks­ogfirs,sechs­und­achtzig,sechs­und­achtzig,blaenyi vɔ ade,ογδόντα έξι,eighty-six,okdek ses,ochenta y seis,kaheksakümmend kuus,هشتاد و شش,cepanze jeetati e jeegoʼo,kahdeksan­kymmentä­kuusi,walóng pû’t anim,áttati­seks,quatre-vingt six,huitante-six,quatre-vingt-six,ochtó a sé,שמונים ושש,छियासी,osamdeset i šest,nyolcvan­hat,ութսուն­վեց,delapan puluh enam,áttatíu og sex,ottanta­sei,八十六,ოთხმოცდა­ექვსი,сексен алты,arfineq-pingasunik qulillit arfinillit,ប៉ែតសិប​ប្រាំមួយ,팔십육,сексен алты,sechsanachtzeg,ແປດ​ສິບ​ຫົກ,هشتاد و شٱش,aštuoniasdešimt šeši,astoņdesmit seši,осумдесет и шест,lapan puluh enam,sitta u tmenin,ရှစ်ဆယ်ခြောက်,छयासी,zes­en­tachtig,åtti­seks,åtti­seks,osiemdziesiąt sześć,oitenta e seis,pusaq chunka suqta-yuq,optzeci şi şase,восемьдесят шесть,gávcci­logi­guhtta,osemdesiat­šesť,osemdeset šest,tetëdhjetë e gjashtë,osamdeset i šest,осамдесет и шест,dalapan puluh genep,åttiosex,themanini na sita,எண்பது ஆறு,แปด​สิบ​หก,seksen altı,вісімдесят шість,tám mươi sáu,八十六,八十六
87,sewe-en-tagtig,aduawɔtwe-asuon,ስምንት አስር ሰባት,سبعة وثمانون,səqsən yeddi,восемдзесят сем,осемдесет и седем,osamdeset sedam,vuitanta-set,𑄃𑄎𑄨 𑄥𑄖𑄴,ꮷꮑꮃꮝꭺ ꭶꮅꮙꭹ,osmdesát sedm,wyth deg saith,syv­ogfirs,sieben­und­achtzig,sieben­und­achtzig,blaenyi vɔ adre,ογδόντα επτά,eighty-seven,okdek sep,ochenta y siete,kaheksakümmend seitse,هشتاد و هفت,cepanze jeetati e jeeɗiɗi,kahdeksan­kymmentä­seitsemän,walóng pû’t pitó,áttati­sjey,quatre-vingt sept,huitante-sept,quatre-vingt-sept,ochtó a seacht,שמונים ושבע,सत्तासी,osamdeset i sedam,nyolcvanhét,ութսուն­յոթ,delapan puluh tujuh,áttatíu og sjó,ottanta­sette,八十七,ოთხმოცდა­შვიდი,сексен жеті,arfineq-pingasunik qulillit arfineq-marluk,ប៉ែតសិប​ប្រាំពីរ,팔십칠,сексен жети,siwenanachtzeg,ແປດ​ສິບ​ເຈັດ,هشتاد و هفت,aštuoniasdešimt septyni,astoņdesmit septiņi,осумдесет и седум,lapan puluh tujuh,sebgħa u tmenin,ရှစ်ဆယ်ခုနှစ်,सतासी,zeven­en­tachtig,åtti­sju,åtti­sju,osiemdziesiąt siedem,oitenta e sete,pusaq chunka qanchis-ni-yuq,optzeci şi şapte,восемьдесят семь,gávcci­logi­čieža,osemdesiat­sedem,osemdeset sedem,tetëdhjetë e shtatë,osamdeset i sedam,осамдесет и седам,dalapan puluh tujuh,åttiosju,themanini na saba,எண்பது ஏழு,แปด​สิบ​เจ็ด,seksen yedi,вісімдесят сім,tám mươi bảy,八十七,八十七
88,agt-en-tagtig,aduawɔtwe-awɔtwe,ስምንት አስር ስምንት,ثمانية وثمانون,səqsən səkkiz,восемдзесят восем,осемдесет и осем,osamdeset osam,vuitanta-vuit,𑄃𑄎𑄨 𑄃𑄖𑄳𑄠𑄴𑄧,ꮷꮑꮃꮝꭺ ꮷꮑꮃ,osmdesát osm,wyth deg wyth,otte­ogfirs,acht­undachtzig,acht­undachtzig,blaenyi vɔ enyi,ογδόντα οκτώ,eighty-eight,okdek ok,ochenta y ocho,kaheksakümmend kaheksa,هشتاد و هشت,cepanze jeetati e jeetati,kahdeksan­kymmentä­kahdeksan,walóng pû’t waló,áttati­átta,quatre-vingt huit,huitante-huit,quatre-vingt-huit,ochtó a hocht,שמונים ושמונה,अट्ठासी,osamdeset i osam,nyolcvan­nyolc,ութսուն­ութ,delapan puluh delapan,áttatíu og átta,ottant­otto,八十八,ოთხმოცდა­რვა,сексен сегіз,arfineq-pingasunik qulillit arfineq-pingasut,ប៉ែតសិប​ប្រាំបី,팔십팔,сексен сегиз,aachtanachtzeg,ແປດ​ສິບ​ແປດ,هشتاد و هشت,aštuoniasdešimt aštuoni,astoņdesmit astoņi,осумдесет и осум,lapan puluh lapan,tmienja u tmenin,ရှစ်ဆယ်ရှစ်,अठासी,acht­en­tachtig,åtti­åtte,åtti­åtte,osiemdziesiąt osiem,oitenta e oito,pusaq chunka pusaq-ni-yuq,optzeci şi opt,восемьдесят восемь,gávcci­logi­gávcci,osemdesiat­osem,osemdeset osem,tetëdhjetë e tetë,osamdeset i osam,осамдесет и осам,dalapan puluh dalapan,åttio­åtta,themanini na nane,எண்பது எட்டு,แปด​สิบ​แปด,seksen sekiz,вісімдесят вісім,tám mươi tám,八十八,八十八
89,nege-en-tagtig,aduawɔtwe-akron,ስምንት አስር ዘጠኝ,تسعة وثمانون,səqsən doqquz,восемдзесят дзевяць,осемдесет и девет,osamdeset devet,vuitanta-nou,𑄃𑄎𑄨 𑄚𑄧,ꮷꮑꮃꮝꭺ ꮠꮑꮃ,osmdesát devět,wyth deg naw,ni­ogfirs,neun­und­achtzig,neun­und­achtzig,blaenyi vɔ asieke,ογδόντα εννέα,eighty-nine,okdek naŭ,ochenta y nueve,kaheksakümmend üheksa,هشتاد و نه,cepanze jeetati e jeenawi,kahdeksan­kymmentä­yhdeksän,walóng pû’t siyám,áttati­níggju,quatre-vingt neuf,huitante-neuf,quatre-vingt-neuf,ochtó a naoi,שמונים ותשע,नवासी,osamdeset i devet,nyolcvankilenc,ութսուն­ինը,delapan puluh sembilan,áttatíu og níu,ottanta­nove,八十九,ოთხმოცდა­ცხრა,сексен тоғыз,arfineq-pingasunik qulillit arfineq-sisamat,ប៉ែតសិប​ប្រាំបួន,팔십구,сексен тогуз,nénganachtzeg,ແປດ​ສິບ​ເກົ້າ,هشتاد و نۏ,aštuoniasdešimt devyni,astoņdesmit deviņi,осумдесет и девет,lapan puluh sembilan,disgħa u tmenin,ရှစ်ဆယ်ကိုး,उनान्नब्बे,negen­en­tachtig,åtti­ni,åtti­ni,osiemdziesiąt dziewięć,oitenta e nove,pusaq chunka isqun-ni-yuq,optzeci şi nouă,восемьдесят девять,gávcci­logi­ovcci,osemdesiat­deväť,osemdeset devet,tetëdhjetë e nëntë,osamdeset i devet,осамдесет и девет,dalapan puluh salapan,åttionio,themanini na tisa,எண்பது ஒன்பது,แปด​สิบ​เก้า,seksen dokuz,вісімдесят девʼять,tám mươi chín,八十九,八十九
90,negentig,aduakron,ዘጠኝ አስር,تسعون,doxsan,дзевяноста,деветдесет,devedeset,noranta,𑄚𑄧𑄛𑄴𑄝𑄰,ꮠꮑꮃꮝꭺꭿ,devadesát,naw deg,halvfems,neunzig,neunzig,blaasieke,εννενήντα,ninety,naŭdek,noventa,üheksakümmend,نود,cepanze jeenawi,yhdeksän­kymmentä,siyám na pû,níti,nonante,nonante,quatre-vingt-dix,nócha,תשעים,नब्बे,devedeset,kilencven,իննասուն,sembilan puluh,níutíu,novanta,九十,ოთხმოცდა­ათი,тоқсан,arfineq-sisamanik qulillit,កៅសិប,구십,токсон,nonzeg,ເກົ້າ​ສິບ,نٱۋد,devyniasdešimt,deviņdesmit,деведесет,sembilan puluh,disgħin,ကိုးဆယ်,नब्बे,negentig,nitti,nitti,dziewięćdziesiąt,noventa,isqun chunka,nouăzeci,девяносто,ovcci­logi,deväťdesiat,devetdeset,nëntëdhjetë,devedeset,деведесет,salapan puluh,nittio,tisini,தொண்ணூறு,เก้า​สิบ,doksan,девʼяносто,chín mươi,九十,九十
91,een-en-negentig,aduakron-biako,ዘጠኝ አስር አንድ,واحد وتسعون,doxsan bir,дзевяноста адзiн,деветдесет и едно,devedeset jedan,noranta-u,𑄚𑄧𑄛𑄴𑄝𑄰 𑄆𑄇𑄴,ꮠꮑꮃꮝꭺ ꮠꮼ,devadesát jeden,naw deg un,en­og­halvfems,ein­undneunzig,ein­undneunzig,blaasieke vɔ ɖekɛ,εννενήντα ένα,ninety-one,naŭdek unu,noventa y uno,üheksakümmend üks,نود و یک,cepanze jeenawi e goʼo,yhdeksän­kymmentä­yksi,siyám na pû’t isá,níti­ein,nonante-et-un,nonante-et-un,quatre-vingt-onze,nócha a haon,תשעים ואחת,इक्यानबे,devedeset i jedan,kilencven­egy,իննասուն­մեկ,sembilan puluh satu,níutíu og einn,novant­uno,九十一,ოთხმოცდა­თერთმეტი,тоқсан бір,arfineq-sisamanik qulillit ataaseq,កៅសិប​មួយ,구십일,токсон бир,eenannonzeg,ເກົ້າ​ສິບ​ເອັດ,نٱۋد و یٱک,devyniasdešimt vienas,deviņdesmit viens,деведесет и еден,sembilan puluh satu,wieħed u disgħin,ကိုးဆယ်တစ်,एकानब्बे,een­en­negentig,nitti­éin,nitti­én,dziewięćdziesiąt jeden,noventa e um,isqun chunka huk-ni-yuq,nouăzeci şi unu,девяносто один,ovcci­logi­okta,deväťdesiat­jeden,devetdeset ena,nëntëdhjetë e një,devedeset i jedan,деведесет и један,salapan puluh hiji,nittio­ett,tisini na moja,தொண்ணூறு ஒன்று,เก้า​สิบ​เอ็ด,doksan bir,девʼяносто один,chín mươi mốt,九十一,九十一
92,twee-en-negentig,aduakron-abien,ዘጠኝ አስር ሁለት,إثنان وتسعون,doxsan iki,дзевяноста два,деветдесет и две,devedeset dva,noranta-dos,𑄚𑄧𑄛𑄴𑄝𑄰 𑄘𑄨,ꮠꮑꮃꮝꭺ ꮤꮅ,devadesát dva,naw deg dau,to­og­halvfems,zwei­und­neunzig,zwei­und­neunzig,blaasieke vɔ eve,εννενήντα δύο,ninety-two,naŭdek du,noventa y dos,üheksakümmend kaks,نود و دو,cepanze jeenawi e ɗiɗi,yhdeksän­kymmentä­kaksi,siyám na pû’t dalawá,níti­tveir,nonante-deux,nonante-deux,quatre-vingt-douze,nócha a dó,תשעים ושתיים,बानबे,devedeset i dva,kilencvenkettő,իննասուն­երկու,sembilan puluh dua,níutíu og tveir,novanta­due,九十二,ოთხმოცდა­თორმეტი,тоқсан екі,arfineq-sisamanik qulillit marluk,កៅសិប​ពីរ,구십이,токсон эки,zweeannonzeg,ເກົ້າ​ສິບ​ສອງ,نٱۋد و دۏ,devyniasdešimt du,deviņdesmit divi,деведесет и два,sembilan puluh dua,tnejn u disgħin,ကိုးဆယ်နှစ်,बयानब्बे,twee­ën­negentig,nitti­to,nitti­to,dziewięćdziesiąt dwa,noventa e dois,isqun chunka iskay-ni-yuq,nouăzeci şi doi,девяносто два,ovcci­logi­guokte,deväťdesiat­dva,devetdeset dva,nëntëdhjetë e dy,devedeset i dva,деведесет и два,salapan puluh dua,nittio­två,tisini na mbili,தொண்ணூறு இரண்டு,เก้า​สิบ​สอง,doksan iki,девʼяносто два,chín mươi hai,九十二,九十二
93,drie-en-negentig,aduakron-abiasa,ዘጠኝ አስር ሦስት,ثلاثة وتسعون,doxsan üç,дзевяноста тры,деветдесет и три,devedeset tri,noranta-tres,𑄚𑄧𑄛𑄴𑄝𑄰 𑄖𑄨𑄚𑄴,ꮠꮑꮃꮝꭺ ꮶꭲ,devadesát tři,naw deg tri,tre­og­halvfems,drei­undneunzig,drei­undneunzig,blaasieke vɔ etɔ̃,εννενήντα τρία,ninety-three,naŭdek tri,noventa y tres,üheksakümmend kolm,نود و سه,cepanze jeenawi e tati,yhdeksän­kymmentä­kolme,siyám na pû’t tatló,níti­tríggir,nonante-trois,nonante-trois,quatre-vingt-treize,nócha a trí,תשעים ושלוש,तिरानबे,devedeset i tri,kilencven­három,իննասուն­երեք,sembilan puluh tiga,níutíu og þrír,novanta­tré,九十三,ოთხმოცდა­ცამეტი,тоқсан үш,arfineq-sisamanik qulillit pingasut,កៅសិប​បី,구십삼,токсон үч,dräiannonzeg,ເກົ້າ​ສິບ​ສາມ,نٱۋد و ساٛ,devyniasdešimt trys,deviņdesmit trīs,деведесет и три,sembilan puluh tiga,tlieta u disgħin,ကိုးဆယ်သုံး,त्रियानब्बे,drie­ën­negentig,nitti­tre,nitti­tre,dziewięćdziesiąt trzy,noventa e três,isqun chunka kinsa-yuq,nouăzeci şi trei,девяносто три,ovcci­logi­golbma,deväťdesiat­tri,devetdeset tri,nëntëdhjetë e tre,devedeset i tri,деведесет и три,salapan puluh tilu,nittiotre,tisini na tatu,தொண்ணூறு மூன்று,เก้า​สิบ​สาม,doksan üç,девʼяносто три,chín mươi ba,九十三,九十三
94,vier-en-negentig,aduakron-anan,ዘጠኝ አስር አራት,أربعة وتسعون,doxsan dörd,дзевяноста чатыры,деветдесет и четири,devedeset četiri,noranta-quatre,𑄚𑄧𑄛𑄴𑄝𑄰 𑄌𑄳𑄆𑄬𑄢𑄴,ꮠꮑꮃꮝꭺ ꮕꭹ,devadesát čtyři,naw deg pedwar,fire­og­halvfems,vierundneunzig,vierundneunzig,blaasieke vɔ ene,εννενήντα τέσσερα,ninety-four,naŭdek kvar,noventa y cuatro,üheksakümmend neli,نود و چهار,cepanze jeenawi e nawi,yhdeksän­kymmentä­neljä,siyám na pû’t ápat,níti­fýre,nonante-quatre,nonante-quatre,quatre-vingt-quatorze,nócha a ceathair,תשעים וארבע,चौरानबे,devedeset i četiri,kilencvennégy,իննասուն­չորս,sembilan puluh empat,níutíu og fjórir,novanta­quattro,九十四,ოთხმოცდა­თოთხმეტი,тоқсан төрт,arfineq-sisamanik qulillit sisamat,កៅសិប​បួន,구십사,токсон төрт,véierannonzeg,ເກົ້າ​ສິບ​ສີ່,نٱۋد و چار,devyniasdešimt keturi,deviņdesmit četri,деведесет и четири,sembilan puluh empat,erbgħa u disgħin,ကိုးဆယ်လေး,चौरानब्बे,vier­en­negentig,nitti­fire,nitti­fire,dziewięćdziesiąt cztery,noventa e quatro,isqun chunka tawa-yuq,nouăzeci şi patru,девяносто четыре,ovcci­logi­njeallje,deväťdesiat­štyri,devetdeset štiri,nëntëdhjetë e katër,devedeset i četiri,деведесет и четири,salapan puluh opat,nittiofyra,tisini na nne,தொண்ணூறு நான்கு,เก้า​สิบ​สี่,doksan dört,девʼяносто чотири,chín mươi tư,九十四,九十四
95,vyf-en-negentig,aduakron-anum,ዘጠኝ አስር አምስት,خمسة وتسعون,doxsan beş,дзевяноста пяць,деветдесет и пет,devedeset pet,noranta-cinc,𑄚𑄧𑄛𑄴𑄝𑄰 𑄛𑄌𑄴,ꮠꮑꮃꮝꭺ ꭿꮝꭹ,devadesát pět,naw deg pump,fem­og­halvfems,fünfund­neunzig,fünfund­neunzig,blaasieke vɔ atɔ̃,εννενήντα πέντε,ninety-five,naŭdek kvin,noventa y cinco,üheksakümmend viis,نود و پنج,cepanze jeenawi e jowi,yhdeksän­kymmentä­viisi,siyám na pû’t limá,níti­fimm,nonante-cinq,nonante-cinq,quatre-vingt-quinze,nócha a cúig,תשעים וחמש,पंचानबे,devedeset i pet,kilencven­öt,իննասուն­հինգ,sembilan puluh lima,níutíu og fimm,novanta­cinque,九十五,ოთხმოცდა­თხუთმეტი,тоқсан бес,arfineq-sisamanik qulillit tallimat,កៅសិប​ប្រាំ,구십오,токсон беш,fënnefannonzeg,ເກົ້າ​ສິບ​ຫ້າ,نٱۋد و پنج,devyniasdešimt penki,deviņdesmit pieci,деведесет и пет,sembilan puluh lima,ħamsa u disgħin,ကိုးဆယ်ငါး,पन्चानब्बे,vijf­en­negentig,nitti­­fem,nitti­­fem,dziewięćdziesiąt pięć,noventa e cinco,isqun chunka phisqa-yuq,nouăzeci şi cinci,девяносто пять,ovcci­logi­vihtta,deväťdesiat­päť,devetdeset pet,nëntëdhjetë e pesë,devedeset i pet,деведесет и пет,salapan puluh lima,nittiofem,tisini na tano,தொண்ணூறு ஐந்து,เก้า​สิบ​ห้า,doksan beş,девʼяносто пʼять,chín mươi lăm,九十五,九十五
