year,title,original_title,director,languages,countries_of_origin,run_time,imdb_url
1949,The Last Illusion,Der Ruf,Josef von Báky,"de,en",DE,1h 40m,https://www.imdb.com/title/tt0041829/
1949,Girls in Gingham,Die Buntkarierten,Kurt Maetzig,de,DD,1h 40m,https://www.imdb.com/title/tt0041215/
1949,Eine große Liebe,,Hans Bertram,de,DE,1h 30m,https://www.imdb.com/title/tt0228352/
1949,El bait el kabir,,Ahmad Kamel Mursi,ar,EG,1h 50m,https://www.imdb.com/title/tt0303708/
1949,Eroica,,Walter Kolm-Veltée,de,AT,1h 35m,https://www.imdb.com/title/tt0041335/
1949,Foreign Harbour,Främmande hamn,Hampe Faustman,"pl,sv,de",SE,1h 25m,https://www.imdb.com/title/tt0040376/
1949,House of Strangers,,Joseph L. Mankiewicz,"en,it",US,1h 41m,https://www.imdb.com/title/tt0041487/
1949,Images d'Ethiopie,,"Jean Pichonnier, Paul Pichonnier",fr,BE,1h 5m,https://www.imdb.com/title/tt0286712/
1949,Lies of Love,L'amorosa menzogna,Michelangelo Antonioni,it,IT,11m,https://www.imdb.com/title/tt0041120/
1949,The Walls of Malapaga,Le mura di Malapaga,René Clément,"it,fr","IT,FR",1h 44m,https://www.imdb.com/title/tt0040137/
1949,Lost Boundaries,,Alfred L. Werker,en,US,1h 39m,https://www.imdb.com/title/tt0041600/
1949,The Adventures of Antar and Abla,Mughamarat Antar wa Abla,Salah Abouseif,ar,EG,1h 45m,https://www.imdb.com/title/tt0040617/
1949,On Our Own Land,Na svoji zemlji,France Stiglic,sl,YU,1h 50m,https://www.imdb.com/title/tt0040634/
1949,The Hidden Room,,Edward Dmytryk,en,GB,1h 36m,https://www.imdb.com/title/tt0041460/
1949,Keep an Eye on Amelia,Occupe-toi d'Amélie..!,Claude Autant-Lara,fr,"FR,IT",1h 32m,https://www.imdb.com/title/tt0041710/
1949,Pueblerina,,Emilio Fernández,es,MX,1h 51m,https://www.imdb.com/title/tt0040715/
1949,Rendezvous in July,Rendez-vous de juillet,Jacques Becker,fr,FR,1h 52m,https://www.imdb.com/title/tt0041800/
1949,Return to Life,Retour à la vie,"André Cayatte, Henri-Georges Clouzot, Jean Dréville","fr,en,de",FR,2h,https://www.imdb.com/title/tt0041802/
1949,Bitter Rice,Riso amaro,Giuseppe De Santis,it,IT,1h 48m,https://www.imdb.com/title/tt0040737/
1949,Sertão,,João G. Martin,pt,BR,1h 9m,https://www.imdb.com/title/tt10302690/
1949,The Passionate Friends,,David Lean,"en,fr",GB,1h 35m,https://www.imdb.com/title/tt0041735/
1949,The Queen of Spades,,Thorold Dickinson,en,GB,1h 35m,https://www.imdb.com/title/tt0041776/
1949,The Set-Up,,Robert Wise,en,US,1h 13m,https://www.imdb.com/title/tt0041859/
1949,The Third Man,,Carol Reed,"en,de,ru,fr","GB,US",1h 44m,https://www.imdb.com/title/tt0041959/
1949,Without Honor,,Irving Pichel,en,US,1h 9m,https://www.imdb.com/title/tt0042049/
1951,A Place in the Sun,,George Stevens,en,US,2h 2m,https://www.imdb.com/title/tt0043924/
1951,All About Eve,,Joseph L. Mankiewicz,"en,fr",US,2h 18m,https://www.imdb.com/title/tt0042192/
1951,Reckless,Balarrasa,José Antonio Nieves Conde,es,ES,1h 30m,https://www.imdb.com/title/tt0042222/
1951,Bright Victory,,Mark Robson,en,US,1h 37m,https://www.imdb.com/title/tt0043361/
1951,Caiçara,,"Alberto Cavalcanti, Adolfo Celi, Tom Payne",pt,BR,1h 32m,https://www.imdb.com/title/tt0184322/
1951,The Falling Star,Der fallende Stern,Harald Braun,de,DE,1h 48m,https://www.imdb.com/title/tt0042445/
1951,The Deadly Dreams,Die tödlichen Träume,Paul Martin,de,DE,1h 21m,https://www.imdb.com/title/tt0348269/
1951,Four in a Jeep,Die Vier im Jeep,Leopold Lindtberg,"fr,en",CH,1h 42m,https://www.imdb.com/title/tt0044192/
1951,The Devil Is a Woman,Doña Diabla,Tito Davison,es,MX,1h 35m,https://www.imdb.com/title/tt0040300/
1951,Miss Julie,Fröken Julie,Alf Sjöberg,"sv,fr",SE,1h 30m,https://www.imdb.com/title/tt0043567/
1951,Paris Vice Squad,Identité judiciaire,Hervé Bromberger,fr,FR,1h 30m,https://www.imdb.com/title/tt0157786/
1951,Path of Hope,Il cammino della speranza,Pietro Germi,it,IT,1h 45m,https://www.imdb.com/title/tt0042301/
1951,The Forbidden Christ,Il Cristo proibito,Curzio Malaparte,it,IT,1h 39m,https://www.imdb.com/title/tt0042354/
1951,"Juliette, or Key of Dreams",Juliette ou La clef des songes,Marcel Carné,fr,FR,1h 46m,https://www.imdb.com/title/tt0042621/
1951,Dream of a Cossack,Kavalier zolotoy zvezdy,Yuli Raizman,ru,SU,1h 35m,https://www.imdb.com/title/tt0043701/
1951,The Yacht Isabel Arrived This Afternoon,La balandra Isabel llegó esta tarde,Carlos Hugo Christensen,es,"VE,AR",1h 36m,https://www.imdb.com/title/tt0158482/
1951,Dance of Fire,La danza del fuego,Daniel Tinayre,es,"AR,ES",1h 40m,https://www.imdb.com/title/tt0041279/
1951,The Honesty of the Lock,La honradez de la cerradura,Luis Escobar,es,ES,1h 28m,https://www.imdb.com/title/tt0042574/
1951,La virgen gitana,,Ramón Torrado,es,ES,1h 32m,https://www.imdb.com/title/tt0042386/
1951,Le Piège,Past,Martin Fric,cs,CS,1h 34m,https://www.imdb.com/title/tt0169118/
1951,Los isleros,,Lucas Demare,es,AR,1h 52m,https://www.imdb.com/title/tt0043679/
1951,Los Olvidados,,Luis Buñuel,es,MX,1h 25m,https://www.imdb.com/title/tt0042804/
1951,The Sin of Harold Diddlebock,,Preston Sturges,en,US,1h 29m,https://www.imdb.com/title/tt0039825/
1951,Marihuana,,León Klimovsky,es,"ES,AR",1h 38m,https://www.imdb.com/title/tt0127017/
1951,Miracle in Milan,Miracolo a Milano,Vittorio De Sica,"it,en",IT,1h 37m,https://www.imdb.com/title/tt0043809/
1951,Musorgskiy,,Grigoriy Roshal,ru,SU,2h,https://www.imdb.com/title/tt0042765/
1951,Side Street Story,Napoli milionaria,Eduardo De Filippo,"en,it",IT,1h 36m,https://www.imdb.com/title/tt0042780/
1951,The New China,Osvobozhdyonnyy Kitay,"Sergey Gerasimov, Eduard Volk",ru,"SU,CN",1h 45m,https://www.imdb.com/title/tt0042785/
1951,Unvanquished City,Robinson warszawski,Jerzy Zarzycki,pl,PL,1h 26m,https://www.imdb.com/title/tt0042731/
1951,Rumbo,,Ramón Torrado,es,ES,1h 30m,https://www.imdb.com/title/tt0041830/
1951,The Last Mission,Teleftaia apostoli,Nikos Tsiforos,"el,de",GR,1h 20m,https://www.imdb.com/title/tt0205448/
1951,The Browning Version,,Anthony Asquith,en,GB,1h 30m,https://www.imdb.com/title/tt0043362/
1951,The Tales of Hoffmann,,"Michael Powell, Emeric Pressburger",en,GB,2h 13m,https://www.imdb.com/title/tt0044103/
1951,Különös házasság,,Márton Keleti,hu,HU,1h 52m,https://www.imdb.com/title/tt0042660/
1951,Édouard et Caroline,,Jacques Becker,fr,FR,1h 28m,https://www.imdb.com/title/tt0042429/
1952,Amar Bhoopali,,Shantaram Rajaram Vankudre,mr,IN,2h 5m,https://www.imdb.com/title/tt0331417/
1952,An American in Paris,,Vincente Minnelli,"en,fr,de",US,1h 54m,https://www.imdb.com/title/tt0043278/
